               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.047388,            0.025394,                   0,             0.86547,             0.82191,             0.83448,             0.43308,            0.053453,            0.030318,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.047116,            0.025473,                   0,             0.86491,              0.8216,              0.8359,             0.43274,            0.053432,            0.030349,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.046918,            0.025375,                   0,             0.86506,             0.81838,             0.83614,             0.43348,             0.05351,            0.030429,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.047362,            0.025075,                   0,             0.86581,             0.81838,             0.83691,             0.43405,            0.053488,             0.03036,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.046657,            0.025113,                   0,             0.86255,             0.81846,             0.83529,             0.43262,            0.053562,            0.030448,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.046607,            0.025178,                   0,             0.86206,             0.82025,             0.83705,              0.4345,            0.053434,            0.030424,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.046265,            0.025061,                   0,             0.86503,             0.82035,              0.8386,             0.43573,            0.053369,            0.030477,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.04639,             0.02477,                   0,             0.86924,             0.82281,             0.84221,             0.43762,            0.053294,            0.030428,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.046118,            0.024973,                   0,              0.8698,             0.82336,             0.84249,             0.43846,            0.053281,              0.0304,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.046087,            0.024887,                   0,             0.86692,             0.82212,             0.84018,             0.43719,            0.053374,            0.030407,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.046013,            0.024791,                   0,             0.86691,             0.82066,             0.83904,             0.43742,            0.053361,            0.030346,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.045781,            0.024711,                   0,             0.86737,             0.81682,             0.83753,             0.43748,            0.053392,            0.030373,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.045772,            0.024577,                   0,             0.86951,              0.8172,             0.83814,             0.43744,            0.053359,            0.030376,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.045474,            0.024276,                   0,             0.86647,             0.81665,             0.83675,             0.43588,            0.053422,            0.030461,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.045374,            0.024691,                   0,             0.86552,             0.81736,             0.83646,             0.43554,            0.053481,            0.030502,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.044994,              0.0244,                   0,             0.86482,             0.81779,             0.83561,              0.4347,            0.053477,            0.030572,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.045218,            0.024476,                   0,             0.86604,             0.81859,             0.83619,             0.43462,            0.053469,            0.030562,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.044934,            0.024407,                   0,             0.86728,              0.8161,             0.83566,             0.43353,            0.053517,            0.030607,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.044818,            0.024217,                   0,             0.86624,             0.81503,             0.83473,             0.43334,            0.053579,            0.030636,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.04454,            0.023869,                   0,             0.86345,             0.81355,              0.8339,             0.43255,            0.053637,            0.030687,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.044348,            0.024045,                   0,             0.86365,             0.81295,             0.83426,              0.4323,            0.053674,            0.030724,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.044459,            0.023957,                   0,             0.86368,             0.81317,             0.83427,             0.43166,            0.053728,            0.030756,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.044275,            0.023846,                   0,             0.86332,             0.81265,             0.83352,             0.43152,            0.053766,            0.030779,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.043978,            0.023528,                   0,             0.86222,             0.81215,             0.83305,             0.43128,             0.05381,            0.030813,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.043937,            0.024028,                   0,             0.86075,             0.81134,             0.83161,              0.4306,            0.053853,            0.030853,                   0,            0.000298,            0.000298,            0.000298
                   0,             0.10919,            0.032813,                   0,             0.43338,             0.49282,              0.4108,              0.1381,             0.08199,            0.035692,                   0,            0.070054,           0.0033274,           0.0033274
                   1,            0.087883,            0.033207,                   0,             0.70809,             0.59574,             0.62218,             0.23195,            0.074142,            0.034322,                   0,            0.039988,           0.0065948,           0.0065948
                   2,            0.082864,            0.032806,                   0,             0.76315,             0.67529,             0.70293,             0.29755,            0.069085,            0.033189,                   0,           0.0098558,           0.0097962,           0.0097962
                   3,             0.07678,            0.032326,                   0,             0.80952,             0.72245,             0.74129,             0.33083,            0.063997,            0.032339,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.072469,             0.03203,                   0,             0.82223,             0.72619,             0.75482,             0.33417,            0.063417,            0.032134,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.069125,            0.031982,                   0,              0.8321,             0.75452,             0.77009,             0.35992,            0.060481,            0.031406,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.067319,            0.031631,                   0,             0.82752,             0.74465,             0.76311,             0.35843,            0.060451,            0.031473,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.065224,             0.03118,                   0,             0.83621,             0.74455,             0.77421,               0.371,            0.059425,              0.0319,                   0,            0.009406,            0.009406,            0.009406
